chunk_id,embedding_index
doc00064_chunk015,995
doc00064_chunk016,996
doc00064_chunk017,997
doc00064_chunk018,998
doc00065_chunk000,999
doc00065_chunk001,1000
doc00065_chunk002,1001
doc00065_chunk003,1002
doc00065_chunk004,1003
doc00065_chunk005,1004
doc00065_chunk006,1005
doc00065_chunk007,1006
doc00065_chunk008,1007
doc00065_chunk009,1008
doc00065_chunk010,1009
doc00066_chunk000,1010
doc00066_chunk001,1011
doc00066_chunk002,1012
doc00067_chunk000,1013
doc00067_chunk001,1014
doc00067_chunk002,1015
doc00067_chunk003,1016
doc00068_chunk000,1017
doc00068_chunk001,1018
doc00068_chunk002,1019
doc00068_chunk003,1020
doc00068_chunk004,1021
doc00068_chunk005,1022
doc00068_chunk006,1023
doc00068_chunk007,1024
doc00068_chunk008,1025
doc00068_chunk009,1026
doc00068_chunk010,1027
doc00069_chunk000,1028
doc00069_chunk001,1029
doc00069_chunk002,1030
doc00069_chunk003,1031
doc00069_chunk004,1032
doc00069_chunk005,1033
doc00070_chunk000,1034
doc00070_chunk001,1035
doc00070_chunk002,1036
doc00070_chunk003,1037
doc00070_chunk004,1038
doc00070_chunk005,1039
doc00070_chunk006,1040
doc00071_chunk000,1041
doc00071_chunk001,1042
doc00072_chunk000,1043
doc00072_chunk001,1044
doc00072_chunk002,1045
doc00072_chunk003,1046
doc00072_chunk004,1047
doc00072_chunk005,1048
doc00072_chunk006,1049
doc00072_chunk007,1050
doc00072_chunk008,1051
doc00072_chunk009,1052
doc00072_chunk010,1053
doc00072_chunk011,1054
doc00072_chunk012,1055
doc00072_chunk013,1056
doc00072_chunk014,1057
doc00072_chunk015,1058
doc00072_chunk016,1059
doc00072_chunk017,1060
doc00072_chunk018,1061
doc00073_chunk000,1062
doc00073_chunk001,1063
doc00073_chunk002,1064
doc00073_chunk003,1065
doc00073_chunk004,1066
doc00073_chunk005,1067
doc00073_chunk006,1068
doc00073_chunk007,1069
doc00073_chunk008,1070
doc00073_chunk009,1071
doc00073_chunk010,1072
doc00073_chunk011,1073
doc00073_chunk012,1074
doc00073_chunk013,1075
doc00073_chunk014,1076
doc00073_chunk015,1077
doc00073_chunk016,1078
doc00073_chunk017,1079
doc00073_chunk018,1080
